file,onset,duration,,file,onset,duration,
G62939005,08:08.8,0.138,,B62939005,04:58.3,0.512,B
G62939005,08:13.0,0.212,,B62939005,04:59.6,0.5,B
G62939005,08:17.9,0.125,,B62939005,05:00.3,0.45,B
G62939005,08:19.1,0.2,,B62939005,05:01.0,0.925,B
G62939005,08:19.6,0.188,,B62939005,05:02.4,0.65,B
G62939005,08:28.3,0.175,,B62939005,05:03.5,0.688,B
G62939005,08:28.7,0.125,,B62939005,05:04.6,0.688,B
G62939005,08:30.0,0.225,,B62939005,05:05.9,0.588,B
G62939005,08:33.8,0.212,,B62939005,05:12.0,0.637,B
G62939005,08:34.3,0.138,,B62939005,05:14.8,0.537,B
G62939005,08:36.9,0.613,,B62939005,05:16.4,0.55,B
G62939005,08:37.6,0.225,,B62939005,05:20.8,0.463,B
G62939005,08:49.5,0.188,,B62939005,05:26.7,0.4,B
G62939005,08:51.4,0.313,,B62939005,05:27.8,0.525,B
G62939005,08:53.6,0.188,,B62939005,05:29.0,0.487,B
G62939005,08:55.1,0.225,,B62939005,05:30.2,0.5,B
G62939005,08:55.6,0.2,,B62939005,05:31.5,0.475,B
G62939005,08:57.8,0.175,,B62939005,05:35.2,0.575,B
G62939005,08:58.1,0.175,,B62939005,05:36.3,5.888,B
G62939005,09:08.7,0.212,,B62939005,05:42.6,0.912,B
G62939005,09:09.1,0.175,,B62939005,05:44.0,0.9,B
G62939005,09:11.0,0.212,,B62939005,05:45.5,0.775,B
G62939005,09:13.2,0.25,,B62939005,05:55.1,0.5,B
G62939005,09:14.0,0.425,,B62939005,05:58.7,0.537,B
G62939005,09:15.8,0.175,,B62939005,06:03.6,0.512,B
G62939005,09:19.9,0.237,,B62939005,06:17.0,0.475,B
G62939005,09:20.4,0.263,,B62939005,06:17.8,0.775,B
G62939005,09:21.3,0.15,,B62939005,06:18.9,0.787,B
G62939005,09:24.0,0.225,,B62939005,06:20.0,0.9,B
G62939005,09:26.3,0.113,,B62939005,06:21.1,0.95,B
G62939005,09:33.2,0.163,,B62939005,06:22.7,0.613,B
G62939005,09:37.3,0.375,,B62939005,06:27.2,0.487,B
G62939005,09:38.6,0.463,,B62939005,06:34.5,0.3,B
G62939005,09:48.2,0.225,,B62939005,06:38.2,0.65,B
G62939005,09:48.6,0.225,,B62939005,06:39.6,0.275,B
G62939005,09:49.2,0.188,,B62939005,06:40.6,0.425,B
G62939005,09:50.0,0.125,,B62939005,06:49.4,0.575,B
G62939005,09:53.1,0.188,,B62939005,06:50.1,3.85,B
G62939005,09:54.6,0.25,,B62939005,06:54.1,0.963,B
G62939005,09:56.8,1.013,,B62939005,06:55.4,0.588,B
G62939005,10:04.8,0.075,,B62939005,07:07.5,0.537,B
G62939005,10:11.3,0.175,,B62939005,07:08.1,0.325,B
G62939005,10:11.7,0.163,,B62939005,07:17.7,0.512,B
G62939005,10:14.3,0.287,,B62939005,07:19.2,7.925,B
G62939005,10:15.9,0.375,,B62939005,07:27.5,0.813,B
G62939005,10:16.5,0.25,,B62939005,07:28.5,0.613,B
G62939005,10:26.1,0.175,,B62939005,07:29.7,0.637,B
G62939005,10:27.7,0.163,,B62939005,07:42.1,0.525,B
G62939005,10:30.9,0.225,,B62939005,07:47.1,0.563,B
G62939005,10:31.4,0.212,,B62939005,07:48.2,0.6,B
G62939005,10:33.2,0.212,,B62939005,07:48.9,0.975,B
G62939005,10:35.0,0.15,,B62939005,07:50.0,0.925,B
G62939005,10:35.3,0.15,,B62939005,07:51.3,0.825,B
G62939005,10:50.6,0.163,,B62939005,07:52.6,0.713,B
G62939005,10:54.2,0.2,,B62939005,07:54.1,0.613,B
G62939005,10:54.7,0.212,,B62939005,07:57.4,0.525,B
G62939005,11:04.3,0.113,,B62939005,08:06.8,0.5,B
G62939005,11:05.0,0.15,,B62939005,08:07.9,0.5,B
G62939005,11:06.8,0.15,,B62939005,08:09.0,0.537,B
G62939005,11:07.2,0.15,,B62939005,08:10.1,0.588,B
G62939005,11:09.8,0.188,,B62939005,08:11.2,0.613,B
G62939005,11:10.2,0.1,,B62939005,08:13.3,0.362,B
G62939005,11:11.3,0.188,,B62939005,08:16.7,0.475,B
G62939005,11:12.7,0.2,,B62939005,08:20.4,0.688,B
G62939005,11:13.8,0.225,,B62939005,08:21.6,0.55,B
G62939005,11:14.3,0.225,,B62939005,08:22.4,0.975,B
G62939005,11:18.5,0.4,,B62939005,08:24.0,0.613,B
G62939005,11:19.1,0.163,,B62939005,08:25.1,0.613,B
G62939005,11:22.4,0.163,,B62939005,08:26.4,0.688,B
G62939005,11:22.7,0.125,,B62939005,08:31.3,0.512,B
G62939005,11:26.3,0.263,,B62939005,08:38.6,0.55,B
G62939005,11:31.3,0.313,,B62939005,08:42.6,0.55,B
G62939005,11:34.8,0.163,,B62939005,08:44.4,0.813,B
G62939005,11:36.7,0.163,,B62939005,08:45.6,0.575,B
G62939005,11:38.2,0.163,,B62939005,08:46.7,0.512,B
G62939005,11:38.6,0.1,,B62939005,08:47.8,0.6,B
G62939005,11:40.3,0.263,,B62939005,08:59.4,0.588,B
G62939005,11:40.7,0.175,,B62939005,09:00.7,5.975,B
G62939005,11:50.9,0.15,,B62939005,09:06.9,0.9,B
G62939005,11:51.1,0.188,,B62939005,09:15.9,0.487,B
G62939005,11:54.3,0.212,,B62939005,09:24.5,0.35,B
G62939005,11:55.9,0.1,,B62939005,09:26.4,0.45,B
G62939005,12:00.0,0.212,,B62939005,09:27.5,0.537,B
G62939005,12:00.5,0.175,,B62939005,09:28.6,0.588,B
G62939005,12:02.7,0.2,,B62939005,09:29.7,0.637,B
G62939005,12:05.3,0.175,,B62939005,09:30.9,0.613,B
G62939005,12:07.5,0.125,,B62939005,09:32.1,0.613,B
G62939005,12:10.1,0.2,,B62939005,09:33.6,0.65,B
G62939005,12:13.0,0.2,,B62939005,09:35.4,0.563,B
G62939005,12:21.2,0.15,,B62939005,09:40.4,0.588,B
G62939005,12:21.7,0.163,,B62939005,09:41.2,0.912,B
G62939005,12:35.9,0.125,,B62939005,09:42.7,0.537,B
G62939005,12:37.2,0.2,,B62939005,09:43.9,0.662,B
G62939005,12:39.4,0.113,,B62939005,09:45.1,0.725,B
G62939005,12:39.8,0.163,,B62939005,09:46.4,0.688,B
G62939005,12:41.0,0.2,,B62939005,09:58.2,0.512,B
G62939005,12:43.1,0.263,,B62939005,09:59.0,0.9,B
G62939005,12:45.6,0.212,,B62939005,10:00.0,3.25,B
G62939005,12:49.2,0.2,,B62939005,10:03.4,1.013,B
