file,onset,duration,,file,onset,duration
G52545004,04:08.1,0.275,,B52545004,06:44.7,0.37
G52545004,04:08.7,0.237,,B52545004,06:45.9,0.313
G52545004,04:14.5,0.438,,B52545004,06:51.1,0.752
G52545004,04:15.0,0.487,,B52545004,06:52.1,0.883
G52545004,04:15.7,0.313,,B52545004,06:53.3,0.388
G52545004,04:16.2,0.175,,B52545004,06:53.8,3.483
G52545004,04:17.6,0.412,,B52545004,06:57.8,0.589
G52545004,04:18.2,0.175,,B52545004,06:58.5,1.015
G52545004,04:18.6,0.15,,B52545004,06:59.8,1.059
G52545004,04:20.1,0.2,,B52545004,07:01.3,0.695
G52545004,04:20.5,0.175,,B52545004,07:02.6,0.645
G52545004,04:20.9,0.175,,B52545004,07:03.9,0.608
G52545004,04:25.0,0.237,,B52545004,07:08.7,0.495
G52545004,04:35.3,0.25,,B52545004,07:10.1,0.445
G52545004,04:37.0,0.287,,B52545004,07:11.3,0.445
G52545004,04:37.6,0.275,,B52545004,07:13.3,0.37
G52545004,04:41.1,0.225,,B52545004,07:15.9,0.37
G52545004,04:41.6,0.2,,B52545004,07:17.2,0.445
G52545004,04:44.3,0.25,,B52545004,07:19.3,0.52
G52545004,04:44.7,0.2,,B52545004,07:20.3,0.583
G52545004,04:45.0,0.2,,B52545004,07:21.3,0.608
G52545004,04:45.4,0.2,,B52545004,07:22.2,0.789
G52545004,04:52.1,0.237,,B52545004,07:23.4,0.445
G52545004,04:58.9,0.287,,B52545004,07:24.3,0.802
G52545004,04:59.5,0.3,,B52545004,07:25.5,0.62
G52545004,05:00.4,0.237,,B52545004,07:26.7,0.683
G52545004,05:01.1,0.163,,B52545004,07:27.9,0.702
G52545004,05:02.7,0.212,,B52545004,07:29.1,0.695
G52545004,05:03.1,0.163,,B52545004,07:30.5,0.608
G52545004,05:03.4,0.138,,B52545004,07:38.5,0.42
G52545004,05:03.8,0.15,,B52545004,07:39.1,0.846
G52545004,05:04.8,0.212,,B52545004,07:40.3,0.727
G52545004,05:05.3,0.188,,B52545004,07:41.2,1.798
G52545004,05:06.4,0.15,,B52545004,07:43.4,0.727
G52545004,05:06.9,0.2,,B52545004,07:44.7,0.67
G52545004,05:13.3,0.175,,B52545004,07:50.4,0.495
G52545004,05:13.5,0.188,,B52545004,07:51.4,0.539
G52545004,05:13.8,0.188,,B52545004,07:52.5,0.526
G52545004,05:16.1,0.225,,B52545004,07:53.5,0.589
G52545004,05:16.6,0.188,,B52545004,07:54.6,0.583
G52545004,05:17.2,0.225,,B52545004,07:55.7,0.626
G52545004,05:17.6,0.163,,B52545004,07:56.9,0.589
G52545004,05:17.9,0.188,,B52545004,08:07.1,1.516
G52545004,05:18.3,0.15,,B52545004,08:08.9,0.952
G52545004,05:20.1,0.188,,B52545004,08:10.0,3.289
G52545004,05:20.5,0.212,,B52545004,08:13.5,1.823
G52545004,05:20.8,0.2,,B52545004,08:15.8,0.42
G52545004,05:23.0,0.225,,B52545004,08:16.8,0.482
G52545004,05:23.5,0.287,,B52545004,08:32.1,0.445
G52545004,05:36.5,0.25,,B52545004,08:33.2,0.357
G52545004,05:38.1,0.237,,B52545004,08:34.2,0.564
G52545004,05:38.5,0.175,,B52545004,08:35.3,0.94
G52545004,05:38.8,0.188,,B52545004,08:36.4,1.867
G52545004,05:39.2,0.188,,B52545004,08:38.6,0.664
G52545004,05:40.3,0.263,,B52545004,08:39.7,0.739
G52545004,05:40.9,0.2,,B52545004,08:40.8,0.796
G52545004,05:42.4,0.388,,B52545004,08:42.0,0.846
G52545004,05:46.3,0.188,,B52545004,08:57.1,0.357
G52545004,05:46.7,0.175,,B52545004,08:58.4,0.37
G52545004,05:49.9,0.25,,B52545004,09:01.8,1.059
G52545004,05:50.5,0.287,,B52545004,09:02.9,0.977
G52545004,05:52.1,0.138,,B52545004,09:04.0,1.09
G52545004,05:59.2,0.225,,B52545004,09:05.2,2.199
G52545004,05:59.6,0.163,,B52545004,09:07.5,1.027
G52545004,05:59.9,0.225,,B52545004,09:08.7,1.046
G52545004,06:00.2,0.2,,B52545004,09:09.9,0.639
G52545004,06:00.7,0.2,,B52545004,09:11.2,0.301
G52545004,06:03.7,0.225,,B52545004,09:24.1,0.301
G52545004,06:08.0,0.175,,B52545004,09:25.4,0.37
G52545004,06:10.1,0.194,,B52545004,09:26.6,0.407
G52545004,06:12.4,0.273,,B52545004,09:27.8,0.426
G52545004,06:12.9,0.258,,B52545004,09:33.6,0.401
G52545004,06:18.1,0.244,,B52545004,09:34.2,0.89
G52545004,06:18.5,0.151,,B52545004,09:35.2,0.883
G52545004,06:18.8,0.158,,B52545004,09:36.2,4.367
G52545004,06:19.1,0.18,,B52545004,09:52.6,0.357
G52545004,06:19.6,0.13,,B52545004,09:53.9,0.432
G52545004,06:20.6,0.187,,B52545004,09:58.0,0.338
G52545004,06:21.1,0.194,,B52545004,09:59.2,6.898
G52545004,06:35.6,0.187,,B52545004,10:06.2,0.802
G52545004,06:36.2,0.245,,B52545004,10:07.4,0.457
G52545004,06:40.0,0.216,,B52545004,10:23.0,0.482
G52545004,06:40.4,0.166,,B52545004,10:24.1,0.52
G52545004,06:40.7,0.151,,B52545004,10:25.2,0.52
G52545004,06:41.1,0.187,,B52545004,10:26.3,0.614
G52545004,06:41.9,0.194,,B52545004,10:27.6,0.595
G52545004,06:43.9,0.166,,B52545004,10:30.3,0.564
G52545004,06:44.4,0.137,,B52545004,10:31.0,0.457
G52545004,06:45.7,0.158,,B52545004,10:31.6,3.734
G52545004,06:46.4,0.173,,B52545004,10:35.5,1.046
G52545004,06:49.2,0.223,,B52545004,10:36.8,0.94
G52545004,06:49.7,0.237,,B52545004,10:48.1,0.482
G52545004,06:50.4,0.187,,B52545004,10:49.2,0.545
G52545004,06:53.0,0.209,,B52545004,10:50.3,0.52
G52545004,06:53.7,0.13,,B52545004,10:51.5,0.526
G52545004,06:56.9,0.151,,B52545004,10:52.6,0.601
G52545004,06:57.3,0.151,,B52545004,10:53.8,0.614
G52545004,06:57.5,0.223,,B52545004,11:07.6,0.407
G52545004,06:59.8,0.086,,B52545004,11:08.2,5.3
G52545004,07:03.5,0.173,,B52545004,11:14.1,0.589
G52545004,07:05.0,0.273,,B52545004,11:30.4,0.915
G52545004,07:05.6,0.266,,B52545004,11:31.5,0.965
G52545004,07:07.5,0.23,,B52545004,11:32.7,2.086
G52545004,07:08.0,0.223,,B52545004,11:35.0,0.915
G52545004,07:10.0,0.151,,B52545004,11:36.1,0.382
G52545004,07:12.1,0.209,,B52545004,11:36.6,0.94
G52545004,07:12.4,0.273,,B52545004,11:38.0,0.576
G52545004,07:12.8,0.151,,B52545004,11:39.1,0.576
G52545004,07:13.2,0.166,,B52545004,11:40.2,0.57
G52545004,07:14.3,0.158,,B52545004,11:41.4,0.545
G52545004,07:14.5,0.144,,B52545004,11:49.1,0.47
G52545004,07:14.8,0.13,,B52545004,11:50.4,4.893
G52545004,07:15.0,0.137,,B52545004,11:55.6,0.915
G52545004,07:23.2,0.223,,B52545004,11:57.0,0.633
G52545004,07:23.8,0.259,,B52545004,11:58.1,0.464
G52545004,07:30.4,0.187,,B52545004,12:07.0,0.37
G52545004,07:32.0,0.209,,B52545004,12:07.5,0.426
G52545004,07:32.3,0.13,,B52545004,12:08.1,0.395
G52545004,07:33.2,0.108,,B52545004,12:08.7,0.47
G52545004,07:34.1,0.187,,B52545004,12:09.2,1.021
G52545004,07:34.5,0.194,,B52545004,12:10.4,1.053
G52545004,07:34.9,0.13,,B52545004,12:11.5,2.425
G52545004,07:36.7,0.216,,B52545004,12:14.4,0.601
G52545004,07:37.0,0.151,,B52545004,12:15.0,0.413
G52545004,07:37.3,0.173,,B52545004,12:15.7,0.445
G52545004,07:37.7,0.144,,B52545004,12:16.9,0.464
G52545004,07:38.1,0.151,,B52545004,12:23.5,0.495
G52545004,07:44.4,0.216,,B52545004,12:24.6,0.883
G52545004,07:44.9,0.273,,B52545004,12:25.7,0.545
G52545004,07:46.5,0.23,,B52545004,12:26.4,0.363
G52545004,07:47.1,0.158,,B52545004,12:26.8,0.57
G52545004,07:49.6,0.209,,B52545004,12:27.4,1.247
G52545004,07:54.6,0.201,,B52545004,12:28.8,2.011
G52545004,07:54.9,0.173,,B52545004,12:31.3,0.677
G52545004,07:55.4,0.194,,B52545004,12:32.6,0.708
G52545004,07:57.9,0.166,,B52545004,12:36.6,0.338
G52545004,07:58.3,0.137,,B52545004,12:37.8,0.451
G52545004,08:00.8,0.259,,B52545004,12:38.9,0.388
G52545004,08:02.0,0.252,,B52545004,12:39.5,2.118
G52545004,08:02.5,0.209,,B52545004,12:42.9,0.551
G52545004,08:15.6,0.187,,B52545004,12:44.2,0.896
G52545004,08:18.3,0.216,,B52545004,12:45.2,0.583
G52545004,08:18.9,0.158,,B52545004,12:46.5,0.526
G52545004,08:19.7,0.302,,B52545004,12:52.0,0.551
G52545004,08:20.1,0.158,,B52545004,12:53.3,0.576
G52545004,08:20.3,0.216,,B52545004,12:54.2,0.808
G52545004,08:20.7,0.173,,B52545004,12:55.4,1.071
G52545004,08:21.1,0.151,,B52545004,12:56.5,3.095
G52545004,08:21.7,0.201,,B52545004,13:00.6,0.946
G52545004,08:22.1,0.23,,B52545004,13:02.1,0.583
G52545004,08:22.5,0.173,,B52545004,13:03.3,0.589
G52545004,08:24.2,0.338,,B52545004,13:10.0,0.357
G52545004,08:24.7,0.187,,B52545004,13:10.7,0.934
G52545004,08:24.9,0.144,,B52545004,13:11.8,0.934
G52545004,08:25.2,0.151,,B52545004,13:12.9,3.79
G52545004,08:27.6,0.18,,B52545004,13:17.2,0.84
G52545004,08:32.9,0.237,,B52545004,13:18.6,0.764
G52545004,08:33.5,0.237,,B52545004,13:27.4,0.545
G52545004,08:42.9,0.151,,B52545004,13:28.5,0.601
G52545004,08:44.0,0.209,,B52545004,13:29.6,0.626
G52545004,08:44.3,0.144,,B52545004,13:30.8,0.702
G52545004,08:44.6,0.173,,B52545004,13:32.1,0.689
G52545004,08:44.9,0.18,,B52545004,13:33.1,0.651
G52545004,08:45.3,0.194,,B52545004,13:34.1,0.84
G52545004,08:45.9,0.173,,B52545004,13:35.2,4.204
G52545004,08:46.3,0.137,,B52545004,13:39.6,0.664
G52545004,08:46.7,0.194,,B52545004,13:40.4,2.443
G52545004,08:49.0,0.187,,B52545004,13:42.9,0.545
G52545004,08:49.2,0.173,,B52545004,13:59.5,0.651
G52545004,08:50.5,0.108,,B52545004,14:00.8,0.633
G52545004,08:50.8,0.209,,B52545004,14:01.8,0.89
G52545004,08:51.4,0.137,,B52545004,14:02.9,2.168
G52545004,08:52.8,0.201,,B52545004,14:05.3,0.576
G52545004,08:54.6,0.23,,B52545004,14:06.6,0.595
G52545004,08:55.1,0.252,,B52545004,14:21.3,0.564
G52545004,09:00.2,0.209,,B52545004,14:22.1,0.984
G52545004,09:00.8,0.122,,B52545004,14:23.3,7.393
G52545004,09:10.9,0.281,,B52545004,14:41.8,0.388
G52545004,09:11.5,0.273,,B52545004,14:51.4,0.476
G52545004,09:17.1,0.201,,B52545004,14:52.6,0.576
G52545004,09:17.5,0.158,,B52545004,14:53.8,0.558
G52545004,09:17.8,0.166,,B52545004,14:54.7,7.361
G52545004,09:18.1,0.18,,B52545004,15:02.5,0.752
G52545004,09:18.5,0.18,,B52545004,15:03.8,0.789
G52545004,09:19.0,0.18,,B52545004,15:15.6,0.407
G52545004,09:20.9,0.173,,B52545004,15:16.7,0.464
G52545004,09:21.3,0.173,,B52545004,15:17.9,0.451
G52545004,09:24.1,0.187,,B52545004,15:18.9,0.507
G52545004,09:24.3,0.194,,B52545004,15:20.1,0.57
G52545004,09:29.9,0.237,,B52545004,15:20.7,0.476
G52545004,09:30.4,0.288,,B52545004,15:21.4,0.482
G52545004,09:42.0,0.23,,B52545004,15:22.2,0.946
G52545004,09:43.4,0.266,,B52545004,15:23.3,0.545
G52545004,09:43.8,0.166,,B52545004,15:24.5,0.526
G52545004,09:44.0,0.237,,B52545004,15:31.7,0.332
G52545004,09:44.4,0.173,,B52545004,15:32.2,0.89
G52545004,09:45.3,0.209,,B52545004,15:33.2,1.096
G52545004,09:45.8,0.18,,B52545004,15:34.4,5.375
G52545004,09:49.8,0.201,,B52545004,15:39.8,0.363
G52545004,09:50.3,0.266,,B52545004,15:40.4,0.814
G52545004,09:55.0,0.173,,B52545004,16:00.3,0.426
G52545004,09:55.9,0.18,,B52545004,16:01.0,0.445
G52545004,10:07.2,0.245,,B52545004,16:01.5,5.808
G52545004,10:07.8,0.223,,B52545004,16:07.4,1.209
G52545004,10:11.1,0.187,,B52545004,16:24.3,0.376
G52545004,10:12.6,0.173,,B52545004,16:25.7,0.388
G52545004,10:14.1,0.173,,B52545004,16:26.9,0.451
G52545004,10:14.4,0.166,,B52545004,16:27.8,0.62
G52545004,10:14.7,0.166,,B52545004,16:29.9,5.419
G52545004,10:15.0,0.18,,B52545004,16:35.8,0.583
G52545004,10:15.3,0.201,,B52545004,16:37.1,0.507
G52545004,10:16.0,0.194,,B52545004,16:38.3,0.545
G52545004,10:20.5,0.194,,B52545004,16:44.0,0.589
G52545004,10:20.9,0.18,,B52545004,16:44.9,0.896
G52545004,10:23.1,0.223,,B52545004,16:46.0,1.015
G52545004,10:23.8,0.151,,B52545004,16:47.2,1.103
G52545004,10:27.3,0.23,,B52545004,16:48.4,3.634
G52545004,10:27.9,0.266,,B52545004,16:52.3,0.858
G52545004,10:41.1,0.201,,B52545004,16:53.8,0.595
G52545004,10:41.4,0.108,,B52545004,16:58.5,0.852
G52545004,10:42.7,0.216,,B52545004,16:59.6,0.883
G52545004,10:43.1,0.173,,B52545004,17:00.7,0.871
G52545004,10:46.1,0.237,,B52545004,17:01.9,0.852
G52545004,10:46.7,0.281,,B52545004,17:03.1,0.796
G52545004,10:51.0,0.158,,B52545004,17:04.4,0.57
G52545004,10:54.8,0.23,,B52545004,17:13.7,0.476
G52545004,10:55.2,0.18,,B52545004,17:14.9,0.489
G52545004,10:55.5,0.173,,B52545004,17:16.5,0.52
G52545004,10:55.8,0.166,,B52545004,17:23.3,0.576
G52545004,10:56.2,0.201,,B52545004,17:24.4,3.59
G52545004,11:02.7,0.173,,B52545004,17:28.1,1.053
G52545004,11:04.2,0.223,,B52545004,17:29.4,0.871
G52545004,11:06.6,0.259,,B52545004,17:30.6,0.902
G52545004,11:07.2,0.295,,B52545004,17:38.1,0.282
G52545004,11:17.4,0.216,,B52545004,17:39.0,0.439
G52545004,11:17.7,0.137,,B52545004,17:40.0,0.551
G52545004,11:18.0,0.18,,B52545004,17:41.0,0.526
G52545004,11:18.4,0.18,,B52545004,17:42.1,0.633
G52545004,11:20.5,0.151,,B52545004,17:44.4,0.564
G52545004,11:22.4,0.201,,B52545004,17:46.8,0.589
G52545004,11:22.9,0.201,,B52545004,17:47.9,0.645
G52545004,11:23.9,0.23,,B52545004,17:49.0,0.858
G52545004,11:24.4,0.173,,B52545004,17:50.0,0.934
G52545004,11:30.6,0.245,,B52545004,17:51.0,3.264
G52545004,11:40.6,0.209,,B52545004,17:54.5,0.984
G52545004,11:43.0,0.309,,B52545004,17:55.5,1.077
G52545004,11:43.4,0.216,,B52545004,17:56.9,0.865
G52545004,11:43.8,0.18,,B52545004,18:10.3,0.583
G52545004,11:44.1,0.18,,B52545004,18:11.4,0.639
G52545004,11:44.5,0.173,,B52545004,18:12.4,4.63
G52545004,11:44.7,0.137,,B52545004,18:17.2,2.055
G52545004,11:45.2,0.144,,B52545004,18:19.7,0.852
G52545004,11:47.7,0.144,,B52545004,18:32.1,0.338
G52545004,11:59.1,0.245,,B52545004,18:33.2,0.345
G52545004,11:59.7,0.237,,B52545004,18:33.8,0.846
G52545004,12:02.1,0.166,,B52545004,18:34.8,0.94
G52545004,12:02.8,0.094,,B52545004,18:35.8,2.519
G52545004,12:04.4,0.166,,B52545004,18:38.5,0.814
G52545004,12:04.9,0.194,,B52545004,18:39.9,0.514
G52545004,12:08.8,0.223,,B52545004,18:53.5,0.551
G52545004,12:12.3,0.23,,B52545004,18:54.6,0.664
G52545004,12:12.6,0.209,,B52545004,18:55.9,0.62
G52545004,12:13.0,0.237,,B52545004,18:58.8,0.32
G52545004,12:13.3,0.166,,B52545004,19:00.0,0.345
G52545004,12:13.8,0.158,,B52545004,19:01.1,0.451
G52545004,12:19.6,0.245,,B52545004,19:03.4,0.507
G52545004,12:20.2,0.252,,B52545004,19:04.2,0.52
G52545004,12:33.5,0.158,,B52545004,19:04.9,1.053
G52545004,12:34.0,0.072,,B52545004,19:06.0,6.321
G52545004,12:34.9,0.201,,B52545004,19:12.4,2.205
G52545004,12:39.7,0.201,,B52545004,19:15.1,0.689
G52545004,12:40.2,0.166,,B52545004,19:16.5,0.558
